"Collision Report Number","Collision Date","County","City","Jurisdiction","Agency","Primary Trafficway","Secondary Trafficway","Block Number","Mile Post","School Zone","Intersection Related","Weather Condition","Lighting Condition","Injury Severity","Collision Type","Object Struck","Damage Threshold Met","Hit and Run","Motor Vehicles Involved","Passengers Involved","Commercial Carrier Involved","School Bus Involved","Pedestrians Involved","Pedalcyclists Involved"
"EA04873","1/1/2020 12:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","255.400","N","N","Clear","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA04873","1/1/2020 12:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","255.400","N","N","Clear","Daylight","No Injury Collision","","","N","N","2","Y","N","N","0","0"
"EA04874","1/2/2020 10:28:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","SLATER RD           ","","260.100","N","Y","Overcast","Daylight","No Injury Collision","","DOT metal sign and sign post","Y","N","3","Y","Y","N","0","0"
"EA04879","1/2/2020 4:33:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","255.100","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA11870","1/2/2020 4:55:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","STATE ROUTE 539     ","","256.200","N","N","Overcast","Dusk","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"E999751","1/2/2020 10:15:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","OHIO ST             ","","253.820","N","N","Overcast","Dark-No Street Lights","Minor Injury Collision","","Metal Sign Post","Y","Y","1","N","N","N","0","0"
"EA00887","1/4/2020 12:25:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 542              ","ANDERSON CREEK      ","","46.790","N","N","Snowing","Daylight","No Injury Collision","","none","Y","N","2","Y","N","N","0","0"
"EA04884","1/4/2020 2:50:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.600","N","N","Raining","Daylight","No Injury Collision","","Metal Sign Post","Y","N","1","N","N","N","0","0"
"EA04884","1/4/2020 2:50:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN ST             ","","262.600","N","N","Raining","Daylight","No Injury Collision","","Metal Sign Post","N","N","1","N","N","N","0","0"
"EA00173","1/4/2020 6:02:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","BAKERVIEW RD        ","","257.660","N","Y","Overcast","Dark-Street Lights On","No Injury Collision","","Guardrail","Y","N","2","Y","N","N","0","0"
"EA00890","1/5/2020 1:46:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","RIVERS EDGE LN      ","","32.000","N","N","Raining","Daylight","No Injury Collision","","Earth Bank or Ledge","Y","N","1","Y","N","N","0","0"
"EA00454","1/6/2020 3:35:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR 9                ","POTTER RD           ","","76.900","N","N","Raining","Daylight","No Injury Collision","","Tree or Stump","Y","N","1","N","N","N","0","0"
"EA04888","1/6/2020 4:09:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","N","N","3","Y","N","N","0","0"
